domain,job_url,confidence,method
https://www.satleolabs.com,,0.0,not-found
http://www.varaha.earth,https://www.varaha.earth/careers#joinus,0.7,direct:url-hint
http://www.skymetweather.com,,0.7,direct:url-hint
http://www.smartjoules.co.in,hhttps://smartjoules.co.in/careers/#jobs,0.7,direct:url-hint
http://www.letsrecycle.in,http://www.letsrecycle.in/careers,0.9,direct:url-hint
http://www.zenithenergy.com,http://www.zenithenergy.com/about/careers,0.8,direct:url-hint
http://www.jakson-green.com,https://jakson.darwinbox.in/ms/candidate/careers,0.9,direct:url-hint
http://www.radiancerenewables.com,http://www.radiancerenewables.com/about/careers,0.7,direct:url-hint
http://www.renergydynamics.com,http://www.renergydynamics.com/about/careers,0.7,direct:url-hint
https://www.kawa.space,,0.0,not-found
http://www.mitarsh.com,http://www.mitarsh.com/career,0.7,direct:url-hint
http://www.zigma.in,http://www.zigma.in/careers.html,0.8,depth-1:url-hint
https://www.pehlejaisa.com,,0.0,not-found
http://www.powercon.in,http://www.powercon.in/about/careers,0.8,direct:url-hint
http://www.sistema.bio,http://www.sistema.bio/opportunities,0.7,direct:url-hint
http://www.ujaas.com,http://www.ujaas.com/career,0.8,direct:url-hint
http://www.cleanmax.com,https://cleanmax.keka.com/careers/,0.9,depth-0:links-to-ats
http://www.udyat.com,http://www.udyat.com/career,0.8,direct:url-hint
http://www.waareertl.com,http://www.waareertl.com/career,0.8,direct:url-hint
http://www.o2power.in,https://www.o2power.in/openings,0.7,direct:url-hint
https://www.sthyrenergy.com,,0.0,not-found
https://stridegreen.in,,0.0,not-found
http://www.desireenergy.com,https://recruitment.desireenergy.com/JobOpening/JobOffer,0.7,direct:url-hint
http://www.ampin.energy,http://www.ampin.energy/about/careers,0.8,direct:url-hint
http://www.solariumenergy.in,http://www.solariumenergy.in/career,0.8,direct:url-hint
http://www.apollo-greenenergy.com,,0.0,not-found
http://www.mytrah.com,,0.0,not-found
http://www.ecorenenergy.com,http://www.ecorenenergy.com/about/careers,0.75,direct:url-hint
http://www.serenticaglobal.com,,0.0,not-found
http://www.onixrenewable.com,http://www.onixrenewable.com/career,0.8,direct:url-hint
http://www.webelsolar.com,http://www.webelsolar.com/career,0.8,direct:url-hint
http://www.thesustainabilitypractitioners.com,,0.0,not-found
http://www.premiumcad.com,https://www.premiumcad.com/jobs,0.7,direct:url-hint
http://www.fourthpartner.co,http://www.fourthpartner.co/about/careers,0.8,direct:url-hint
http://www.switchingavo.com,https://www.switchingavo.com/career,0.8,direct:url-hint
http://www.everrenew.com,https://everrenew.zohorecruit.in/jobs/Careers,0.7,depth-1:url-hint
http://www.enrichenergy.com,http://www.enrichenergy.com/career,0.9,direct:url-hint
http://www.exactsunindia.com,,0.0,not-found
https://www.corritelectric.com,,0.0,not-found
http://www.junipergreenenergy.com,http://www.junipergreenenergy.com/about/careers,0.8,direct:url-hint
http://www.swayambhuinfo.com,,0.0,not-found
http://www.sustainandsave.com,https://www.sustainandsave.com/careers,0.7,direct:url-hint
http://www.centurysolar.org,,0.0,not-found
http://www.renom.in,http://www.renom.in/about/careers,0.7,direct:url-hint
http://www.amplussolar.com,http://www.amplussolar.com/career,0.8,direct:url-hint
http://www.mahindrasusten.com,http://www.mahindrasusten.com/career,0.75,direct:url-hint
http://www.pointo.in,http://www.pointo.in/join-us,0.9,direct:url-hint
http://www.ewaarenewable.com,,0.0,not-found
http://www.azurepower.com,https://careers.azurepower.com/search/,0.8,direct:url-hint
http://www.nslpower.com,https://www.nslpower.com/careers.html.html,0.8,depth-1:url-hint
http://www.mahindrateqo.com,http://www.mahindrateqo.com/about/careers,0.8,direct:url-hint
http://www.claroenergy.in,,0.0,not-found
http://www.kpgroup.co,http://www.kpgroup.co/about/careers,0.8,direct:url-hint
http://www.netzeropro.ai,,0.0,not-found
http://www.omcpower.com,https://www.omcpower.com/join-us,0.7,direct:url-hint
http://www.guvnl.com,,0.0,not-found
http://www.stepchange.earth,http://www.stepchange.earth/career,0.8,direct:url-hint
http://www.envaplax.com,,0.0,not-found
http://www.ayanapower.com,,0.0,not-found
http://www.solarladder.com,http://www.solarladder.com/about/careers,0.7,direct:url-hint
http://www.feniceenergy.com,,0.0,not-found
http://www.thekabadiwala.com,http://www.thekabadiwala.com/careers,0.7,direct:url-hint
http://www.uravulabs.com,,0.0,direct:url-hint
http://www.devic-earth.com,http://www.devic-earth.com/about/careers,0.7,direct:url-hint
http://www.wevois.com,http://www.wevois.com/career,0.7,direct:url-hint
http://www.nrgindia.com,https://www.nrgindia.com/jobs,0.7,direct:url-hint
http://www.adhunikev.com,,0.0,not-found
http://www.harsun.co.in,https://harsun.co.in/careers/,0.8,direct:url-hint
http://www.rayzonsolar.com,,0.0,not-found
http://www.pigreeninnovations.com,,0.0,not-found
http://www.thesustainabilitycloud.com,https://careers.logicladder.com/jobs/Careers,0.7,depth-1:url-hint
http://www.emergent-ventures.com,,0.0,not-found
http://www.phool.co,,0.0,not-found
http://www.paramrenewable.com,,0.0,not-found
